coc_number,year,total_year_round_beds_es,total_year_round_beds_th,total_year_round_beds_sh,total_year_round_beds_psh,total_year_round_beds_rrh,total_year_round_beds_oph,total_seasonal_beds_es,total_overflow_beds_es,total_chronic_homeless_beds_psh
MD-511,2024,145.0,31.0,0.0,82.0,89.0,0.0,44.0,0.0,2.0
MD-513,2024,252.0,23.0,0.0,293.0,119.0,0.0,52.0,4.0,89.0
MD-514,2024,878.0,270.0,0.0,938.0,338.0,5.0,125.0,12.0,536.0
MD-600,2024,408.0,164.0,0.0,369.0,97.0,0.0,0.0,15.0,282.0
MD-601,2024,894.0,49.0,18.0,2316.0,303.0,0.0,0.0,82.0,120.0
ME-500,2024,2048.0,770.0,15.0,2290.0,486.0,361.0,0.0,0.0,227.0
MI-500,2024,1427.0,429.0,0.0,385.0,633.0,279.0,23.0,25.0,37.0
MI-501,2024,1020.0,214.0,10.0,3115.0,567.0,292.0,100.0,163.0,2238.0
MI-502,2024,98.0,67.0,8.0,498.0,147.0,59.0,28.0,0.0,360.0
MI-503,2024,176.0,93.0,0.0,272.0,81.0,94.0,0.0,135.0,84.0
MI-504,2024,249.0,78.0,0.0,654.0,139.0,351.0,37.0,5.0,212.0
MI-505,2024,257.0,97.0,0.0,36.0,26.0,0.0,101.0,0.0,0.0
MI-506,2024,873.0,242.0,0.0,1052.0,307.0,322.0,0.0,100.0,465.0
MI-507,2024,544.0,122.0,0.0,426.0,171.0,140.0,0.0,0.0,160.0
MI-508,2024,527.0,41.0,24.0,425.0,126.0,127.0,75.0,10.0,139.0
MI-509,2024,351.0,41.0,0.0,640.0,195.0,62.0,0.0,0.0,419.0
MI-510,2024,277.0,127.0,6.0,255.0,84.0,0.0,0.0,3.0,255.0
MI-511,2024,127.0,124.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0
MI-512,2024,124.0,8.0,0.0,284.0,69.0,26.0,72.0,0.0,24.0
MI-514,2024,220.0,47.0,0.0,182.0,29.0,4.0,0.0,2.0,1.0
MI-515,2024,116.0,19.0,0.0,46.0,27.0,0.0,0.0,0.0,0.0
MI-516,2024,209.0,36.0,0.0,93.0,0.0,616.0,0.0,0.0,54.0
MI-517,2024,90.0,0.0,0.0,76.0,74.0,0.0,0.0,0.0,66.0
MI-518,2024,25.0,41.0,0.0,16.0,24.0,11.0,0.0,0.0,16.0
MI-519,2024,150.0,118.0,0.0,129.0,67.0,45.0,0.0,0.0,45.0
MI-523,2024,37.0,22.0,0.0,42.0,48.0,4.0,0.0,0.0,42.0
MN-500,2024,2963.0,529.0,0.0,2436.0,1074.0,5609.0,90.0,213.0,581.0
MN-501,2024,955.0,584.0,0.0,1747.0,276.0,2504.0,0.0,57.0,588.0
MN-502,2024,341.0,192.0,0.0,254.0,152.0,1128.0,77.0,15.0,224.0
MN-503,2024,512.0,175.0,0.0,476.0,238.0,982.0,0.0,12.0,132.0
MN-504,2024,32.0,43.0,0.0,23.0,57.0,129.0,0.0,2.0,6.0
MN-505,2024,468.0,253.0,0.0,269.0,234.0,588.0,61.0,23.0,95.0
MN-506,2024,160.0,131.0,0.0,91.0,122.0,460.0,24.0,0.0,23.0
MN-508,2024,125.0,74.0,0.0,379.0,68.0,332.0,0.0,8.0,325.0
MN-509,2024,257.0,169.0,0.0,486.0,65.0,843.0,0.0,7.0,157.0
MN-511,2024,111.0,104.0,0.0,220.0,156.0,64.0,0.0,0.0,1.0
MO-500,2024,219.0,160.0,0.0,474.0,81.0,375.0,0.0,0.0,318.0
MO-501,2024,714.0,392.0,0.0,1699.0,425.0,495.0,26.0,0.0,1330.0
MO-503,2024,86.0,23.0,0.0,261.0,8.0,120.0,0.0,322.0,28.0
MO-600,2024,336.0,18.0,0.0,197.0,170.0,171.0,0.0,232.0,197.0
MO-602,2024,196.0,81.0,0.0,249.0,48.0,0.0,0.0,0.0,95.0
MO-603,2024,74.0,86.0,18.0,205.0,107.0,82.0,59.0,0.0,142.0
MO-604,2024,629.0,981.0,20.0,1985.0,451.0,0.0,191.0,0.0,513.0
MO-606,2024,1224.0,294.0,8.0,1113.0,474.0,404.0,92.0,46.0,802.0
MS-500,2024,146.0,78.0,0.0,382.0,58.0,0.0,0.0,0.0,176.0
MS-501,2024,376.0,53.0,0.0,200.0,516.0,0.0,18.0,0.0,52.0
MS-503,2024,42.0,70.0,0.0,30.0,374.0,126.0,33.0,0.0,23.0
MT-500,2024,1426.0,676.0,0.0,708.0,315.0,26.0,0.0,0.0,126.0
NC-500,2024,416.0,34.0,0.0,325.0,58.0,90.0,0.0,0.0,325.0
NC-501,2024,242.0,302.0,0.0,586.0,173.0,130.0,0.0,148.0,290.0
NC-502,2024,211.0,20.0,0.0,306.0,134.0,327.0,0.0,38.0,125.0
NC-503,2024,2510.0,427.0,0.0,1712.0,592.0,1189.0,39.0,151.0,1060.0
NC-504,2024,390.0,61.0,6.0,2161.0,96.0,0.0,87.0,8.0,174.0
NC-505,2024,1265.0,593.0,20.0,1409.0,1027.0,895.0,77.0,0.0,910.0
NC-506,2024,221.0,89.0,0.0,199.0,22.0,0.0,0.0,0.0,47.0
NC-507,2024,739.0,121.0,0.0,695.0,409.0,92.0,0.0,40.0,372.0
NC-509,2024,236.0,25.0,0.0,99.0,0.0,0.0,0.0,3.0,0.0
NC-511,2024,126.0,46.0,0.0,435.0,104.0,0.0,0.0,7.0,81.0
NC-513,2024,49.0,52.0,0.0,44.0,56.0,220.0,0.0,19.0,23.0
NC-516,2024,134.0,33.0,0.0,54.0,32.0,0.0,0.0,4.0,3.0
ND-500,2024,757.0,160.0,0.0,544.0,51.0,103.0,0.0,16.0,276.0
NE-500,2024,596.0,329.0,0.0,139.0,418.0,100.0,0.0,0.0,80.0
NE-501,2024,1267.0,311.0,10.0,859.0,168.0,281.0,0.0,87.0,837.0
NE-502,2024,368.0,153.0,0.0,297.0,301.0,296.0,0.0,53.0,94.0
NH-500,2024,776.0,299.0,0.0,466.0,166.0,4.0,142.0,51.0,70.0
NH-501,2024,377.0,209.0,0.0,270.0,49.0,370.0,0.0,0.0,22.0
NH-502,2024,204.0,305.0,5.0,104.0,12.0,128.0,28.0,0.0,104.0
NJ-500,2024,241.0,72.0,0.0,143.0,66.0,79.0,0.0,0.0,57.0
NJ-501,2024,202.0,170.0,0.0,495.0,62.0,203.0,0.0,38.0,246.0
NJ-502,2024,984.0,23.0,0.0,258.0,38.0,0.0,0.0,21.0,78.0
NJ-503,2024,667.0,185.0,30.0,1027.0,196.0,0.0,0.0,271.0,553.0
NJ-504,2024,1687.0,698.0,0.0,1331.0,393.0,428.0,0.0,401.0,785.0
NJ-506,2024,380.0,62.0,0.0,623.0,243.0,353.0,0.0,613.0,476.0
NJ-507,2024,490.0,5.0,0.0,551.0,83.0,453.0,0.0,76.0,193.0
