coc_number,coc_name,year,overall_homeless,overall_homeless_individuals,overall_homeless_people_in_families,overall_homeless_family_households,overall_chronically_homeless_individuals,sheltered_es_homeless,sheltered_es_homeless_individuals,sheltered_es_homeless_people_in_families,sheltered_es_homeless_family_households,sheltered_th_homeless,sheltered_th_homeless_individuals,sheltered_th_homeless_people_in_families,sheltered_th_homeless_family_households,sheltered_total_homeless,sheltered_total_homeless_individuals,sheltered_total_homeless_people_in_families,sheltered_total_homeless_family_households,sheltered_total_chronically_homeless_individuals,unsheltered_homeless,unsheltered_homeless_individuals,unsheltered_homeless_people_in_families,unsheltered_homeless_family_households,unsheltered_chronically_homeless_individuals
CA-524,Yuba City & County/Sutter County CoC,2024,928.0,762.0,166.0,54.0,357.0,238.0,190.0,48.0,17.0,8.0,0.0,8.0,3.0,246.0,190.0,56.0,20.0,99.0,682.0,572.0,110.0,34.0,258.0
CA-525,El Dorado County CoC,2024,284.0,252.0,32.0,10.0,54.0,91.0,82.0,9.0,3.0,58.0,48.0,10.0,4.0,149.0,130.0,19.0,7.0,31.0,135.0,122.0,13.0,3.0,23.0
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",2024,719.0,585.0,134.0,46.0,82.0,168.0,78.0,90.0,32.0,26.0,17.0,9.0,4.0,194.0,95.0,99.0,36.0,11.0,525.0,490.0,35.0,10.0,71.0
CA-527,Tehama County CoC,2024,324.0,273.0,51.0,14.0,103.0,22.0,12.0,10.0,4.0,55.0,25.0,30.0,7.0,77.0,37.0,40.0,11.0,0.0,247.0,236.0,11.0,3.0,103.0
CA-529,Lake County CoC,2024,604.0,469.0,135.0,38.0,147.0,103.0,40.0,63.0,20.0,66.0,57.0,9.0,3.0,169.0,97.0,72.0,23.0,26.0,435.0,372.0,63.0,15.0,121.0
CA-530,"Alpine, Inyo, Mono Counties CoC",2024,106.0,95.0,11.0,4.0,16.0,1.0,1.0,0.0,0.0,36.0,25.0,11.0,4.0,37.0,26.0,11.0,4.0,1.0,69.0,69.0,0.0,0.0,15.0
CA-531,Nevada County CoC,2024,516.0,413.0,103.0,34.0,171.0,187.0,151.0,36.0,12.0,71.0,34.0,37.0,13.0,258.0,185.0,73.0,25.0,65.0,258.0,228.0,30.0,9.0,106.0
CA-600,Los Angeles City & County CoC,2024,71201.0,60494.0,10707.0,3432.0,28201.0,19540.0,12265.0,7275.0,2344.0,1973.0,1386.0,587.0,199.0,21692.0,13830.0,7862.0,2543.0,4480.0,49509.0,46664.0,2845.0,889.0,23721.0
CA-601,San Diego City and County CoC,2024,10605.0,9042.0,1563.0,508.0,3555.0,3177.0,2305.0,872.0,279.0,1258.0,709.0,549.0,186.0,4495.0,3074.0,1421.0,465.0,890.0,6110.0,5968.0,142.0,43.0,2665.0
CA-602,"Santa Ana, Anaheim/Orange County CoC",2024,7322.0,6194.0,1128.0,347.0,2407.0,2522.0,2075.0,447.0,130.0,627.0,126.0,501.0,161.0,3149.0,2201.0,948.0,291.0,870.0,4173.0,3993.0,180.0,56.0,1537.0
