coc_number,coc_name,year,overall_homeless,overall_homeless_individuals,overall_homeless_people_in_families,overall_homeless_family_households,overall_chronically_homeless_individuals,sheltered_es_homeless,sheltered_es_homeless_individuals,sheltered_es_homeless_people_in_families,sheltered_es_homeless_family_households,sheltered_th_homeless,sheltered_th_homeless_individuals,sheltered_th_homeless_people_in_families,sheltered_th_homeless_family_households,sheltered_total_homeless,sheltered_total_homeless_individuals,sheltered_total_homeless_people_in_families,sheltered_total_homeless_family_households,sheltered_total_chronically_homeless_individuals,unsheltered_homeless,unsheltered_homeless_individuals,unsheltered_homeless_people_in_families,unsheltered_homeless_family_households,unsheltered_chronically_homeless_individuals
NH-502,Nashua/Hillsborough County CoC,2012,336.0,205.0,131.0,50.0,55.0,105.0,85.0,20.0,7.0,189.0,85.0,104.0,40.0,295.0,171.0,124.0,47.0,30.0,41.0,34.0,7.0,3.0,25.0
NJ-500,Atlantic City & County CoC,2012,631.0,459.0,172.0,58.0,117.0,556.0,392.0,164.0,55.0,6.0,0.0,6.0,2.0,562.0,392.0,170.0,57.0,101.0,69.0,67.0,2.0,1.0,16.0
NJ-501,Bergen County CoC,2012,454.0,284.0,170.0,65.0,54.0,228.0,186.0,42.0,15.0,194.0,72.0,122.0,47.0,422.0,258.0,164.0,62.0,45.0,32.0,26.0,6.0,3.0,9.0
NJ-502,Burlington County CoC,2012,823.0,407.0,416.0,141.0,45.0,773.0,372.0,401.0,137.0,21.0,10.0,11.0,2.0,794.0,382.0,412.0,139.0,38.0,29.0,25.0,4.0,2.0,7.0
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",2012,1215.0,672.0,543.0,191.0,76.0,936.0,469.0,467.0,164.0,115.0,87.0,28.0,11.0,1051.0,556.0,495.0,175.0,54.0,164.0,116.0,48.0,16.0,22.0
NJ-504,Newark/Essex County CoC,2012,1504.0,941.0,563.0,201.0,137.0,924.0,650.0,274.0,97.0,411.0,146.0,265.0,98.0,1335.0,796.0,539.0,195.0,105.0,169.0,145.0,24.0,6.0,32.0
NJ-506,"Jersey City, Bayonne/Hudson County CoC",2012,2087.0,750.0,1337.0,520.0,111.0,1578.0,415.0,1163.0,451.0,215.0,69.0,146.0,58.0,1793.0,484.0,1309.0,509.0,30.0,294.0,266.0,28.0,11.0,81.0
NJ-507,New Brunswick/Middlesex County CoC,2012,1145.0,525.0,620.0,217.0,60.0,604.0,254.0,350.0,120.0,229.0,83.0,146.0,57.0,833.0,337.0,496.0,177.0,30.0,312.0,188.0,124.0,40.0,30.0
NJ-508,Monmouth County CoC,2012,650.0,272.0,378.0,131.0,56.0,330.0,201.0,129.0,51.0,265.0,41.0,224.0,74.0,595.0,242.0,353.0,125.0,48.0,55.0,30.0,25.0,6.0,8.0
NJ-509,Morris County CoC,2012,281.0,179.0,102.0,39.0,37.0,113.0,58.0,55.0,21.0,77.0,33.0,44.0,17.0,209.0,110.0,99.0,38.0,22.0,72.0,69.0,3.0,1.0,15.0
NJ-510,Lakewood Township/Ocean County CoC,2012,649.0,449.0,200.0,68.0,36.0,581.0,392.0,189.0,64.0,17.0,14.0,3.0,1.0,598.0,406.0,192.0,65.0,34.0,51.0,43.0,8.0,3.0,2.0
NJ-511,Paterson/Passaic County CoC,2012,518.0,256.0,262.0,71.0,26.0,396.0,172.0,224.0,62.0,22.0,20.0,2.0,1.0,418.0,192.0,226.0,63.0,19.0,100.0,64.0,36.0,8.0,7.0
NJ-512,Salem County CoC,2012,78.0,27.0,51.0,20.0,1.0,18.0,8.0,10.0,5.0,31.0,6.0,25.0,9.0,49.0,14.0,35.0,14.0,0.0,29.0,13.0,16.0,6.0,1.0
NJ-513,Somerset County CoC,2012,295.0,177.0,118.0,41.0,2.0,100.0,32.0,68.0,25.0,172.0,135.0,37.0,12.0,272.0,167.0,105.0,37.0,0.0,23.0,10.0,13.0,4.0,2.0
NJ-514,Trenton/Mercer County CoC,2012,1009.0,551.0,458.0,155.0,62.0,471.0,325.0,146.0,57.0,432.0,151.0,281.0,87.0,903.0,476.0,427.0,144.0,42.0,106.0,75.0,31.0,11.0,20.0
NJ-515,Elizabeth/Union County CoC,2012,1456.0,512.0,944.0,296.0,27.0,354.0,219.0,135.0,38.0,1052.0,247.0,805.0,256.0,1406.0,466.0,940.0,294.0,20.0,50.0,46.0,4.0,2.0,7.0
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",2012,230.0,142.0,88.0,33.0,34.0,168.0,95.0,73.0,26.0,21.0,14.0,7.0,3.0,189.0,109.0,80.0,29.0,21.0,41.0,33.0,8.0,4.0,13.0
NM-500,Albuquerque CoC,2012,1431.0,1004.0,427.0,142.0,387.0,621.0,500.0,121.0,36.0,423.0,155.0,268.0,97.0,1044.0,655.0,389.0,133.0,238.0,387.0,349.0,38.0,9.0,149.0
NM-501,New Mexico Balance of State CoC,2012,1814.0,1132.0,682.0,206.0,586.0,759.0,559.0,200.0,59.0,594.0,257.0,337.0,97.0,1353.0,816.0,537.0,156.0,328.0,461.0,316.0,145.0,50.0,258.0
NV-500,Las Vegas/Clark County CoC,2012,7323.0,6581.0,742.0,251.0,1434.0,2013.0,1609.0,404.0,125.0,1044.0,724.0,320.0,120.0,3082.0,2358.0,724.0,245.0,361.0,4241.0,4223.0,18.0,6.0,1073.0
NV-501,"Reno, Sparks/Washoe County CoC",2012,869.0,749.0,120.0,38.0,111.0,407.0,303.0,104.0,32.0,298.0,282.0,16.0,6.0,705.0,585.0,120.0,38.0,104.0,164.0,164.0,0.0,0.0,7.0
NV-502,Nevada Balance of State CoC,2012,305.0,163.0,142.0,52.0,58.0,83.0,34.0,49.0,19.0,100.0,22.0,78.0,26.0,183.0,56.0,127.0,45.0,15.0,122.0,107.0,15.0,7.0,43.0
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",2012,699.0,377.0,322.0,115.0,77.0,471.0,279.0,192.0,64.0,217.0,87.0,130.0,51.0,699.0,377.0,322.0,115.0,77.0,0.0,0.0,0.0,0.0,0.0
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",2012,305.0,220.0,85.0,25.0,34.0,96.0,53.0,43.0,11.0,190.0,150.0,40.0,13.0,286.0,203.0,83.0,24.0,22.0,19.0,17.0,2.0,1.0,12.0
NY-503,Albany City & County CoC,2012,590.0,372.0,218.0,98.0,95.0,430.0,242.0,188.0,83.0,132.0,102.0,30.0,15.0,562.0,344.0,218.0,98.0,67.0,28.0,28.0,0.0,0.0,28.0
NY-504,Cattaragus County CoC,2012,38.0,11.0,27.0,8.0,6.0,24.0,7.0,17.0,5.0,13.0,3.0,10.0,3.0,37.0,10.0,27.0,8.0,5.0,1.0,1.0,0.0,0.0,1.0
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",2012,882.0,653.0,229.0,85.0,104.0,480.0,359.0,121.0,42.0,386.0,278.0,108.0,43.0,866.0,637.0,229.0,85.0,92.0,16.0,16.0,0.0,0.0,12.0
NY-506,"Fulton, Montgomery, Schoharie Counties CoC",2012,72.0,35.0,37.0,10.0,3.0,64.0,27.0,37.0,10.0,0.0,0.0,0.0,0.0,64.0,27.0,37.0,10.0,2.0,8.0,8.0,0.0,0.0,1.0
NY-507,Schenectady City & County CoC,2012,287.0,190.0,97.0,43.0,49.0,237.0,156.0,81.0,36.0,32.0,16.0,16.0,7.0,269.0,172.0,97.0,43.0,40.0,18.0,18.0,0.0,0.0,9.0
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",2012,1183.0,770.0,413.0,136.0,131.0,545.0,373.0,172.0,52.0,508.0,267.0,241.0,84.0,1067.0,654.0,413.0,136.0,85.0,116.0,116.0,0.0,0.0,46.0
NY-510,Ithaca/Tompkins County CoC,2012,68.0,39.0,29.0,11.0,13.0,19.0,11.0,8.0,3.0,34.0,13.0,21.0,8.0,53.0,24.0,29.0,11.0,2.0,15.0,15.0,0.0,0.0,11.0
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Count",2012,292.0,283.0,9.0,3.0,0.0,170.0,161.0,9.0,3.0,111.0,111.0,0.0,0.0,281.0,272.0,9.0,3.0,0.0,11.0,11.0,0.0,0.0,0.0
NY-512,Troy/Rensselaer County CoC,2012,225.0,83.0,142.0,54.0,36.0,140.0,30.0,110.0,39.0,36.0,4.0,32.0,15.0,176.0,34.0,142.0,54.0,8.0,49.0,49.0,0.0,0.0,28.0
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",2012,121.0,84.0,37.0,13.0,5.0,97.0,60.0,37.0,13.0,24.0,24.0,0.0,0.0,121.0,84.0,37.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",2012,33.0,27.0,6.0,3.0,0.0,14.0,14.0,0.0,0.0,19.0,13.0,6.0,3.0,33.0,27.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
NY-516,Clinton County CoC,2012,236.0,149.0,87.0,31.0,31.0,167.0,85.0,82.0,29.0,52.0,52.0,0.0,0.0,219.0,137.0,82.0,29.0,31.0,17.0,12.0,5.0,2.0,0.0
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",2012,176.0,85.0,91.0,36.0,19.0,107.0,62.0,45.0,20.0,47.0,15.0,32.0,13.0,154.0,77.0,77.0,33.0,15.0,22.0,8.0,14.0,3.0,4.0
NY-519,"Columbia, Greene Counties CoC",2012,132.0,60.0,72.0,23.0,0.0,126.0,60.0,66.0,21.0,6.0,0.0,6.0,2.0,132.0,60.0,72.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
NY-520,"Franklin, Essex Counties CoC",2012,14.0,14.0,0.0,0.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,3.0
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",2012,95.0,82.0,13.0,6.0,11.0,40.0,32.0,8.0,4.0,41.0,41.0,0.0,0.0,81.0,73.0,8.0,4.0,10.0,14.0,9.0,5.0,2.0,1.0
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",2012,299.0,174.0,125.0,44.0,38.0,209.0,116.0,93.0,32.0,53.0,34.0,19.0,7.0,262.0,150.0,112.0,39.0,24.0,37.0,24.0,13.0,5.0,14.0
NY-600,New York City CoC,2012,56672.0,23543.0,33129.0,10045.0,2988.0,44879.0,14500.0,30379.0,9098.0,8394.0,5644.0,2750.0,947.0,53410.0,20281.0,33129.0,10045.0,900.0,3262.0,3262.0,0.0,0.0,2088.0
NY-601,Poughkeepsie/Dutchess County CoC,2012,453.0,248.0,205.0,82.0,42.0,229.0,115.0,114.0,45.0,180.0,92.0,88.0,36.0,409.0,207.0,202.0,81.0,11.0,44.0,41.0,3.0,1.0,31.0
NY-602,"Newburgh, Middletown/Orange County CoC",2012,502.0,323.0,179.0,58.0,106.0,309.0,167.0,142.0,44.0,47.0,10.0,37.0,14.0,356.0,177.0,179.0,58.0,43.0,146.0,146.0,0.0,0.0,63.0
NY-603,"Nassau, Suffolk Counties CoC",2012,3359.0,1082.0,2277.0,697.0,152.0,2605.0,697.0,1908.0,591.0,619.0,250.0,369.0,106.0,3224.0,947.0,2277.0,697.0,131.0,135.0,135.0,0.0,0.0,21.0
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",2012,1741.0,726.0,1015.0,359.0,309.0,612.0,498.0,114.0,48.0,1091.0,190.0,901.0,311.0,1703.0,688.0,1015.0,359.0,275.0,38.0,38.0,0.0,0.0,34.0
NY-606,Rockland County CoC,2012,107.0,77.0,30.0,11.0,4.0,63.0,45.0,18.0,7.0,41.0,29.0,12.0,4.0,104.0,74.0,30.0,11.0,1.0,3.0,3.0,0.0,0.0,3.0
NY-607,Sullivan County CoC,2012,630.0,257.0,373.0,116.0,49.0,618.0,249.0,369.0,115.0,0.0,0.0,0.0,0.0,618.0,249.0,369.0,115.0,49.0,12.0,8.0,4.0,1.0,0.0
NY-608,Kingston/Ulster County CoC,2012,355.0,169.0,186.0,58.0,19.0,262.0,78.0,184.0,57.0,29.0,29.0,0.0,0.0,291.0,107.0,184.0,57.0,7.0,64.0,62.0,2.0,1.0,12.0
OH-500,Cincinnati/Hamilton County CoC,2012,1654.0,887.0,767.0,213.0,234.0,749.0,512.0,237.0,60.0,859.0,329.0,530.0,153.0,1608.0,841.0,767.0,213.0,221.0,46.0,46.0,0.0,0.0,13.0
OH-501,Toledo/Lucas County CoC,2012,977.0,650.0,327.0,108.0,136.0,438.0,324.0,114.0,40.0,391.0,185.0,206.0,65.0,840.0,520.0,320.0,105.0,97.0,137.0,130.0,7.0,3.0,39.0
OH-502,Cleveland/Cuyahoga County CoC,2012,2191.0,1626.0,565.0,187.0,375.0,939.0,694.0,245.0,87.0,1108.0,788.0,320.0,100.0,2067.0,1502.0,565.0,187.0,296.0,124.0,124.0,0.0,0.0,79.0
OH-503,Columbus/Franklin County CoC,2012,1434.0,1068.0,366.0,116.0,311.0,1003.0,774.0,229.0,74.0,249.0,112.0,137.0,42.0,1252.0,886.0,366.0,116.0,174.0,182.0,182.0,0.0,0.0,137.0
OH-504,Youngstown/Mahoning County CoC,2012,224.0,86.0,138.0,45.0,26.0,127.0,48.0,79.0,25.0,86.0,27.0,59.0,20.0,214.0,76.0,138.0,45.0,19.0,10.0,10.0,0.0,0.0,7.0
OH-505,"Dayton, Kettering/Montgomery County CoC",2012,1081.0,639.0,442.0,147.0,48.0,540.0,399.0,141.0,44.0,450.0,149.0,301.0,103.0,1014.0,572.0,442.0,147.0,37.0,67.0,67.0,0.0,0.0,11.0
OH-506,"Akron, Barberton/Summit County CoC",2012,813.0,510.0,303.0,95.0,205.0,326.0,188.0,138.0,41.0,311.0,153.0,158.0,51.0,647.0,351.0,296.0,92.0,110.0,166.0,159.0,7.0,3.0,95.0
OH-507,Ohio Balance of State CoC,2012,5121.0,2137.0,2984.0,951.0,380.0,1948.0,988.0,960.0,309.0,2228.0,495.0,1733.0,550.0,4185.0,1492.0,2693.0,859.0,194.0,936.0,645.0,291.0,92.0,186.0
OH-508,"Canton, Massillon, Alliance/Stark County CoC",2012,482.0,252.0,230.0,81.0,73.0,207.0,111.0,96.0,25.0,192.0,61.0,131.0,55.0,419.0,192.0,227.0,80.0,48.0,63.0,60.0,3.0,1.0,25.0
OK-500,North Central Oklahoma CoC,2012,204.0,108.0,96.0,36.0,20.0,85.0,44.0,41.0,18.0,62.0,27.0,35.0,12.0,147.0,71.0,76.0,30.0,13.0,57.0,37.0,20.0,6.0,7.0
OK-501,Tulsa City & County CoC,2012,1021.0,804.0,217.0,62.0,86.0,626.0,466.0,160.0,45.0,201.0,144.0,57.0,17.0,876.0,659.0,217.0,62.0,82.0,145.0,145.0,0.0,0.0,4.0
OK-502,Oklahoma City CoC,2012,1303.0,1069.0,234.0,81.0,230.0,630.0,513.0,117.0,43.0,312.0,209.0,103.0,34.0,942.0,722.0,220.0,77.0,56.0,361.0,347.0,14.0,4.0,174.0
OK-503,Oklahoma Balance of State CoC,2012,571.0,285.0,286.0,80.0,16.0,95.0,22.0,73.0,33.0,49.0,28.0,21.0,10.0,144.0,50.0,94.0,43.0,0.0,427.0,235.0,192.0,37.0,16.0
OK-504,Norman/Cleveland County CoC,2012,616.0,433.0,183.0,58.0,30.0,37.0,28.0,9.0,4.0,123.0,40.0,83.0,26.0,160.0,68.0,92.0,30.0,16.0,456.0,365.0,91.0,28.0,14.0
OK-505,Northeast Oklahoma CoC,2012,342.0,217.0,125.0,45.0,50.0,216.0,139.0,77.0,31.0,61.0,45.0,16.0,5.0,277.0,184.0,93.0,36.0,50.0,65.0,33.0,32.0,9.0,0.0
OK-506,Southwest Oklahoma Regional CoC,2012,396.0,221.0,175.0,73.0,6.0,186.0,141.0,45.0,16.0,38.0,0.0,38.0,11.0,233.0,150.0,83.0,27.0,6.0,163.0,71.0,92.0,46.0,0.0
OK-507,Southeastern Oklahoma Regional CoC,2012,579.0,317.0,262.0,84.0,43.0,223.0,138.0,85.0,26.0,41.0,31.0,10.0,4.0,264.0,169.0,95.0,30.0,14.0,315.0,148.0,167.0,54.0,29.0
OR-500,"Eugene, Springfield/Lane County CoC",2012,2057.0,1539.0,518.0,157.0,586.0,392.0,296.0,96.0,29.0,259.0,70.0,189.0,59.0,651.0,366.0,285.0,88.0,79.0,1406.0,1173.0,233.0,69.0,507.0
OR-501,"Portland, Gresham/Multnomah County CoC",2012,4423.0,2918.0,1505.0,620.0,1025.0,892.0,562.0,330.0,110.0,1817.0,754.0,1063.0,455.0,2709.0,1316.0,1393.0,565.0,252.0,1714.0,1602.0,112.0,55.0,773.0
OR-502,"Medford, Ashland/Jackson County CoC",2012,691.0,560.0,131.0,41.0,160.0,159.0,132.0,27.0,8.0,277.0,182.0,95.0,29.0,441.0,319.0,122.0,37.0,51.0,250.0,241.0,9.0,4.0,109.0
OR-503,Central Oregon CoC,2012,808.0,460.0,348.0,111.0,81.0,107.0,85.0,22.0,7.0,169.0,66.0,103.0,31.0,276.0,151.0,125.0,38.0,11.0,532.0,309.0,223.0,73.0,70.0
OR-505,Oregon Balance of State CoC,2012,6105.0,3342.0,2763.0,922.0,665.0,934.0,703.0,231.0,88.0,1097.0,525.0,572.0,220.0,2035.0,1232.0,803.0,308.0,236.0,4070.0,2110.0,1960.0,614.0,429.0
OR-506,"Hillsboro, Beaverton/Washington County CoC",2012,751.0,399.0,352.0,112.0,156.0,87.0,12.0,75.0,22.0,212.0,67.0,145.0,51.0,309.0,89.0,220.0,73.0,12.0,442.0,310.0,132.0,39.0,144.0
OR-507,Clackamas County CoC,2012,993.0,570.0,423.0,147.0,109.0,29.0,4.0,25.0,9.0,95.0,15.0,80.0,28.0,124.0,19.0,105.0,37.0,13.0,869.0,551.0,318.0,110.0,96.0
PA-500,Philadelphia CoC,2012,5780.0,2976.0,2804.0,923.0,590.0,3324.0,1857.0,1467.0,504.0,1890.0,553.0,1337.0,419.0,5280.0,2476.0,2804.0,923.0,200.0,500.0,500.0,0.0,0.0,390.0
PA-501,Harrisburg/Dauphin County CoC,2012,386.0,235.0,151.0,58.0,63.0,178.0,118.0,60.0,23.0,136.0,47.0,89.0,34.0,328.0,179.0,149.0,57.0,35.0,58.0,56.0,2.0,1.0,28.0
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",2012,604.0,244.0,360.0,100.0,50.0,356.0,163.0,193.0,56.0,210.0,43.0,167.0,44.0,566.0,206.0,360.0,100.0,31.0,38.0,38.0,0.0,0.0,19.0
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",2012,178.0,94.0,84.0,32.0,5.0,61.0,45.0,16.0,6.0,112.0,44.0,68.0,26.0,173.0,89.0,84.0,32.0,3.0,5.0,5.0,0.0,0.0,2.0
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",2012,419.0,148.0,271.0,87.0,49.0,199.0,93.0,106.0,35.0,197.0,32.0,165.0,52.0,396.0,125.0,271.0,87.0,35.0,23.0,23.0,0.0,0.0,14.0
PA-505,Chester County CoC,2012,691.0,476.0,215.0,70.0,69.0,244.0,207.0,37.0,12.0,415.0,237.0,178.0,58.0,667.0,452.0,215.0,70.0,62.0,24.0,24.0,0.0,0.0,7.0
PA-506,Reading/Berks County CoC,2012,340.0,216.0,124.0,44.0,55.0,158.0,129.0,29.0,10.0,165.0,79.0,86.0,33.0,323.0,208.0,115.0,43.0,47.0,17.0,8.0,9.0,1.0,8.0
PA-508,Scranton/Lackawanna County CoC,2012,260.0,92.0,168.0,59.0,29.0,59.0,32.0,27.0,7.0,175.0,34.0,141.0,52.0,238.0,70.0,168.0,59.0,14.0,22.0,22.0,0.0,0.0,15.0
PA-509,Eastern Pennsylvania CoC,2012,1752.0,664.0,1088.0,362.0,105.0,707.0,298.0,409.0,132.0,914.0,248.0,666.0,227.0,1621.0,546.0,1075.0,359.0,75.0,131.0,118.0,13.0,3.0,30.0
PA-510,Lancaster City & County CoC,2012,562.0,241.0,321.0,104.0,47.0,200.0,128.0,72.0,28.0,353.0,104.0,249.0,76.0,553.0,232.0,321.0,104.0,42.0,9.0,9.0,0.0,0.0,5.0
PA-511,Bristol/Bensalem/Bucks County CoC,2012,458.0,142.0,316.0,107.0,30.0,122.0,54.0,68.0,21.0,285.0,39.0,246.0,85.0,407.0,93.0,314.0,106.0,3.0,51.0,49.0,2.0,1.0,27.0
PA-512,York City & County CoC,2012,284.0,129.0,155.0,50.0,31.0,141.0,64.0,77.0,26.0,118.0,47.0,71.0,21.0,259.0,111.0,148.0,47.0,28.0,25.0,18.0,7.0,3.0,3.0
PA-600,Pittsburgh/McKeesport/Penn Hills/Allegheny County CoC,2012,1376.0,816.0,560.0,197.0,263.0,430.0,323.0,107.0,34.0,822.0,369.0,453.0,163.0,1320.0,760.0,560.0,197.0,231.0,56.0,56.0,0.0,0.0,32.0
PA-601,Western Pennsylvania CoC,2012,1097.0,566.0,531.0,176.0,118.0,499.0,292.0,207.0,69.0,490.0,195.0,295.0,97.0,1031.0,529.0,502.0,166.0,111.0,66.0,37.0,29.0,10.0,7.0
PA-603,Beaver County CoC,2012,110.0,65.0,45.0,15.0,8.0,28.0,11.0,17.0,5.0,77.0,51.0,26.0,9.0,105.0,62.0,43.0,14.0,5.0,5.0,3.0,2.0,1.0,3.0
PA-605,Erie City & County CoC,2012,439.0,191.0,248.0,92.0,52.0,240.0,136.0,104.0,29.0,153.0,42.0,111.0,48.0,393.0,178.0,215.0,77.0,49.0,46.0,13.0,33.0,15.0,3.0
PR-502,Puerto Rico Balance of Commonwealth CoC,2012,1685.0,1348.0,337.0,160.0,752.0,200.0,164.0,36.0,13.0,583.0,417.0,166.0,81.0,805.0,603.0,202.0,94.0,70.0,880.0,745.0,135.0,66.0,682.0
PR-503,South/Southeast Puerto Rico CoC,2012,1527.0,1146.0,381.0,137.0,845.0,157.0,122.0,35.0,16.0,343.0,178.0,165.0,37.0,541.0,341.0,200.0,53.0,129.0,986.0,805.0,181.0,84.0,716.0
RI-500,Rhode Island Statewide CoC,2012,1277.0,788.0,489.0,182.0,148.0,805.0,578.0,227.0,91.0,426.0,164.0,262.0,91.0,1249.0,760.0,489.0,182.0,148.0,28.0,28.0,0.0,0.0,0.0
SC-500,Charleston/Low Country CoC,2012,483.0,416.0,67.0,26.0,58.0,155.0,119.0,36.0,12.0,116.0,89.0,27.0,13.0,271.0,208.0,63.0,25.0,15.0,212.0,208.0,4.0,1.0,43.0
SC-501,Greenville/Anderson/Spartanburg Upstate CoC,2012,1324.0,786.0,538.0,194.0,57.0,520.0,367.0,153.0,62.0,607.0,222.0,385.0,132.0,1139.0,601.0,538.0,194.0,56.0,185.0,185.0,0.0,0.0,1.0
SC-502,Columbia/Midlands CoC,2012,1648.0,1306.0,342.0,126.0,152.0,559.0,453.0,106.0,40.0,387.0,234.0,153.0,58.0,946.0,687.0,259.0,98.0,31.0,702.0,619.0,83.0,28.0,121.0
SC-503,Myrtle Beach/Sumter City & County CoC,2012,1460.0,819.0,641.0,205.0,121.0,226.0,175.0,51.0,23.0,194.0,118.0,76.0,31.0,420.0,293.0,127.0,54.0,11.0,1040.0,526.0,514.0,151.0,110.0
SD-500,South Dakota Statewide CoC,2012,859.0,512.0,347.0,119.0,113.0,514.0,310.0,204.0,71.0,281.0,155.0,126.0,44.0,795.0,465.0,330.0,115.0,100.0,64.0,47.0,17.0,4.0,13.0
TN-500,Chattanooga/Southeast Tennessee CoC,2012,548.0,364.0,184.0,61.0,70.0,291.0,239.0,52.0,16.0,83.0,17.0,66.0,23.0,374.0,256.0,118.0,39.0,55.0,174.0,108.0,66.0,22.0,15.0
TN-501,Memphis/Shelby County CoC,2012,2076.0,1386.0,690.0,214.0,255.0,487.0,363.0,124.0,37.0,1263.0,701.0,562.0,176.0,1750.0,1064.0,686.0,213.0,66.0,326.0,322.0,4.0,1.0,189.0
TN-502,Knoxville/Knox County CoC,2012,854.0,772.0,82.0,34.0,174.0,382.0,349.0,33.0,16.0,339.0,296.0,43.0,16.0,721.0,645.0,76.0,32.0,132.0,133.0,127.0,6.0,2.0,42.0
TN-503,Central Tennessee CoC,2012,245.0,190.0,55.0,21.0,29.0,107.0,76.0,31.0,12.0,125.0,104.0,21.0,8.0,232.0,180.0,52.0,20.0,27.0,13.0,10.0,3.0,1.0,2.0
TN-504,Nashville/Davidson County CoC,2012,1934.0,1690.0,244.0,81.0,1013.0,844.0,740.0,104.0,32.0,715.0,575.0,140.0,49.0,1571.0,1327.0,244.0,81.0,653.0,363.0,363.0,0.0,0.0,360.0
TN-506,Oak Ridge/Upper Cumberland CoC,2012,658.0,480.0,178.0,63.0,34.0,109.0,89.0,20.0,7.0,50.0,31.0,19.0,6.0,159.0,120.0,39.0,13.0,2.0,499.0,360.0,139.0,50.0,32.0
TN-507,Jackson/West Tennessee CoC,2012,1692.0,1071.0,621.0,215.0,200.0,135.0,69.0,66.0,25.0,87.0,48.0,39.0,15.0,230.0,125.0,105.0,40.0,32.0,1462.0,946.0,516.0,175.0,168.0
TN-509,Appalachian Regional CoC,2012,424.0,303.0,121.0,39.0,49.0,225.0,169.0,56.0,22.0,98.0,62.0,36.0,11.0,323.0,231.0,92.0,33.0,24.0,101.0,72.0,29.0,6.0,25.0
TN-510,Murfreesboro/Rutherford County CoC,2012,218.0,149.0,69.0,20.0,69.0,90.0,47.0,43.0,14.0,32.0,17.0,15.0,3.0,122.0,64.0,58.0,17.0,9.0,96.0,85.0,11.0,3.0,60.0
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",2012,777.0,500.0,277.0,85.0,221.0,193.0,63.0,130.0,42.0,103.0,92.0,11.0,3.0,296.0,155.0,141.0,45.0,53.0,481.0,345.0,136.0,40.0,168.0
TX-500,San Antonio/Bexar County CoC,2012,3670.0,1289.0,2381.0,1023.0,526.0,1308.0,242.0,1066.0,500.0,693.0,215.0,478.0,143.0,2043.0,499.0,1544.0,643.0,272.0,1627.0,790.0,837.0,380.0,254.0
TX-503,Austin/Travis County CoC,2012,2244.0,1572.0,672.0,213.0,708.0,772.0,520.0,252.0,82.0,587.0,181.0,406.0,128.0,1375.0,717.0,658.0,210.0,270.0,869.0,855.0,14.0,3.0,438.0
TX-600,Dallas City & County/Irving CoC,2012,3447.0,1598.0,1849.0,471.0,434.0,1840.0,962.0,878.0,204.0,1377.0,419.0,958.0,261.0,3242.0,1406.0,1836.0,465.0,291.0,205.0,192.0,13.0,6.0,143.0
TX-601,Fort Worth/Arlington/Tarrant County CoC,2012,2123.0,1269.0,854.0,327.0,219.0,1166.0,875.0,291.0,102.0,800.0,239.0,561.0,224.0,1987.0,1135.0,852.0,326.0,181.0,136.0,134.0,2.0,1.0,38.0
TX-603,El Paso City & County CoC,2012,1236.0,742.0,494.0,147.0,105.0,578.0,388.0,190.0,56.0,456.0,152.0,304.0,91.0,1054.0,560.0,494.0,147.0,65.0,182.0,182.0,0.0,0.0,40.0
TX-604,Waco/McLennan County CoC,2012,319.0,162.0,157.0,36.0,29.0,156.0,69.0,87.0,16.0,102.0,37.0,65.0,19.0,258.0,106.0,152.0,35.0,2.0,61.0,56.0,5.0,1.0,27.0
TX-607,Texas Balance of State (BoS) CoC,2012,12764.0,7727.0,5037.0,1650.0,2528.0,2444.0,1503.0,941.0,371.0,898.0,449.0,449.0,171.0,3342.0,1952.0,1390.0,542.0,473.0,9422.0,5775.0,3647.0,1108.0,2055.0
